src_port,dst_port,length,protocol,tcp_flags,ttl
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
137.0,137.0,110.0,17.0,0.0,64.0
138.0,138.0,255.0,17.0,0.0,64.0
5353.0,5353.0,113.0,17.0,0.0,255.0
49162.0,4501.0,146.0,17.0,0.0,128.0
4501.0,49162.0,322.0,17.0,0.0,53.0
49162.0,4501.0,146.0,17.0,0.0,128.0
5353.0,5353.0,392.0,17.0,0.0,255.0
5353.0,5353.0,474.0,17.0,0.0,255.0
5353.0,5353.0,356.0,17.0,0.0,255.0
4501.0,49162.0,322.0,17.0,0.0,53.0
5353.0,5353.0,106.0,17.0,0.0,255.0
5353.0,5353.0,104.0,17.0,0.0,255.0
55431.0,443.0,55.0,6.0,16.0,128.0
443.0,55431.0,66.0,6.0,16.0,55.0
5353.0,5353.0,1087.0,17.0,0.0,255.0
5353.0,5353.0,113.0,17.0,0.0,255.0
52877.0,443.0,66.0,6.0,2.0,128.0
443.0,52877.0,66.0,6.0,18.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
52877.0,443.0,1494.0,6.0,16.0,128.0
52877.0,443.0,646.0,6.0,24.0,128.0
443.0,52877.0,54.0,6.0,16.0,54.0
443.0,52877.0,153.0,6.0,24.0,54.0
52877.0,443.0,900.0,6.0,24.0,128.0
443.0,52877.0,335.0,6.0,24.0,54.0
52877.0,443.0,128.0,6.0,24.0,128.0
52877.0,443.0,146.0,6.0,24.0,128.0
52877.0,443.0,326.0,6.0,24.0,128.0
443.0,52877.0,54.0,6.0,16.0,54.0
443.0,52877.0,125.0,6.0,24.0,54.0
52877.0,443.0,85.0,6.0,24.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
443.0,52877.0,1514.0,6.0,24.0,54.0
443.0,52877.0,1514.0,6.0,16.0,54.0
52877.0,443.0,54.0,6.0,16.0,128.0
